id,description,htsNumber,country,declaredValue,status,ai_baseDuty,hts_baseDuty,baseDiff,ai_totalDuty,hts_totalDuty,totalDiff,hts_mpf,hts_hmf,ai_formulas,hts_formula,notes
TC-011,Cotton fabric IN - 11.5% base only,5208.21.60.00,IN,800,ERROR,0,0,,0,0,,,,{},,"HTS error: {""calculationId"":""CALC-1775229838858-0AE8FE"",""baseDuty"":92,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":92,""landedCost"":892,""breakdown"":{""baseDuty"":92,""additionalTariffs"":[],""taxes"":[],""totalDuty"":92,""totalTax"":0,""landedCost"":892},""formulaUsed"":""value * 0.115"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null} | AI: BLOCKED (HTS code not found: 5208.21.60.00)"
TC-012,TV monitor JP - 3.9% base + reciprocal tariff,8528.72.64.00,JP,5000,ERROR,0,0,,0,0,,,,{},,"HTS error: {""calculationId"":""CALC-1775229838932-VLITNN"",""baseDuty"":195,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":195,""landedCost"":5195,""breakdown"":{""baseDuty"":195,""additionalTariffs"":[],""taxes"":[],""totalDuty"":195,""totalTax"":0,""landedCost"":5195},""formulaUsed"":""value * 0.039"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null} | AI: BLOCKED (HTS code not found: 8528.72.64.00)"
TC-013,TV monitor DE (EU) - 3.9% base + EU reciprocal tariff,8528.72.64.00,DE,5000,ERROR,0,0,,0,0,,,,{},,"HTS error: {""calculationId"":""CALC-1775229839031-EWAOMN"",""baseDuty"":195,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":195,""landedCost"":5195,""breakdown"":{""baseDuty"":195,""additionalTariffs"":[],""taxes"":[],""totalDuty"":195,""totalTax"":0,""landedCost"":5195},""formulaUsed"":""value * 0.039"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null} | AI: BLOCKED (HTS code not found: 8528.72.64.00)"
TC-014,Plastic articles CN - 5.1% base + Section 301 25%,3926.90.55.00,CN,2000,ERROR,102,0,,802,0,,,,"{""base"":""value * 0.051"",""section_301"":""value * 0.25"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229839113-Y1XG9S"",""baseDuty"":102,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":102,""landedCost"":2102,""breakdown"":{""baseDuty"":102,""additionalTariffs"":[],""taxes"":[],""totalDuty"":102,""totalTax"":0,""landedCost"":2102},""formulaUsed"":""value * 0.051"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-015,Low-value apparel CN - MPF minimum ($27.75) expected,6203.11.60.00,CN,10,ERROR,1.75,0,,3.5,0,,,,"{""base"":""value * 0.175"",""section_301"":""value * 0.075"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229840173-FR0ALG"",""baseDuty"":1.75,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":1.75,""landedCost"":11.75,""breakdown"":{""baseDuty"":1.75,""additionalTariffs"":[],""taxes"":[],""totalDuty"":1.75,""totalTax"":0,""landedCost"":11.75},""formulaUsed"":""value * 0.175"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-016,High-value laptop JP - MPF cap ($579.23) expected,8471.30.01.00,JP,200000,ERROR,0,0,,0,0,,,,"{""base"":""0""}",,"HTS error: {""calculationId"":""CALC-1775229840218-ZCWNXT"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":200000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":200000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-017,"Laptop KR - free base, Korea FTA candidate",8471.30.01.00,KR,3000,ERROR,0,0,,0,0,,,,"{""base"":""0""}",,"HTS error: {""calculationId"":""CALC-1775229840288-7P51UO"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":3000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":3000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-018,Steel GB - free base + Section 232,7208.52.00.00,GB,8000,ERROR,0,0,,2800,0,,,,"{""base"":""0"",""section_122"":""value * 0.100"",""static_metal_tariff"":""value * 0.25""}",,"HTS error: {""calculationId"":""CALC-1775229840331-ZQI05J"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":8000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":8000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-019,Apparel VN - 17.5% base + reciprocal tariff,6203.11.60.00,VN,1000,ERROR,175,0,,275,0,,,,"{""base"":""value * 0.175"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229840370-PU4MP0"",""baseDuty"":175,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":175,""landedCost"":1175,""breakdown"":{""baseDuty"":175,""additionalTariffs"":[],""taxes"":[],""totalDuty"":175,""totalTax"":0,""landedCost"":1175},""formulaUsed"":""value * 0.175"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-020,"Laptop MX - free base, USMCA candidate",8471.30.01.00,MX,2000,ERROR,0,0,,0,0,,,,"{""base"":""0""}",,"HTS error: {""calculationId"":""CALC-1775229840437-K4DQSY"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":2000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":2000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-021,Footwear CN - 48% high rate + Section 301,6404.11.59.00,CN,800,ERROR,384,0,,464,0,,,,"{""base"":""value * 0.48"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229840474-6HG723"",""baseDuty"":384,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":384,""landedCost"":1184,""breakdown"":{""baseDuty"":384,""additionalTariffs"":[],""taxes"":[],""totalDuty"":384,""totalTax"":0,""landedCost"":1184},""formulaUsed"":""value * 0.48"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-022,Metal furniture CN - free base + Section 301 25%,9403.20.00,CN,5000,ERROR,0,0,,0,0,,,,{},,"HTS error: {""calculationId"":""CALC-1775229840513-PUE2LH"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":5000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":5000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null} | AI: BLOCKED (Invalid HTS code: 9403.20.00)"
TC-023,Electric motor CN - 6.7% base + Section 301 25%,8501.10.20.00,CN,2000,ERROR,134,0,,834,0,,,,"{""base"":""value * 0.067"",""section_301"":""value * 0.25"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229840551-9PMSUA"",""baseDuty"":134,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":134,""landedCost"":2134,""breakdown"":{""baseDuty"":134,""additionalTariffs"":[],""taxes"":[],""totalDuty"":134,""totalTax"":0,""landedCost"":2134},""formulaUsed"":""value * 0.067"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-024,Solar cells CN - free base + Section 301 50%,8541.49.80.00,CN,15000,ERROR,0,0,,7500,0,,,,"{""base"":""0"",""section_301"":""value * 0.50""}",,"HTS error: {""calculationId"":""CALC-1775229841332-XU1415"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":15000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":15000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-025,Pharmaceutical IN - duty free base,3004.31.00.00,IN,10000,ERROR,0,0,,1000,0,,,,"{""base"":""0"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229841618-5TCUJM"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":10000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":10000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-026,Dishwasher CN - free base + Section 301 25%,8422.19.00.00,CN,3000,ERROR,0,0,,1050,0,,,,"{""base"":""0"",""section_301"":""value * 0.25"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229842587-HU10EF"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":3000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":3000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-027,Dishwasher JP - free base + reciprocal tariff,8422.19.00.00,JP,20000,ERROR,0,0,,2000,0,,,,"{""base"":""0"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229842788-A645SB"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":20000,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":20000},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-028,Handbags CN - 5.7% base + Section 301 25%,4202.22.60.00,CN,3000,ERROR,171,0,,1221,0,,,,"{""base"":""value * 0.057"",""section_301"":""value * 0.25"",""section_122"":""value * 0.100""}",,"HTS error: {""calculationId"":""CALC-1775229843463-SOJMP5"",""baseDuty"":171,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":171,""landedCost"":3171,""breakdown"":{""baseDuty"":171,""additionalTariffs"":[],""taxes"":[],""totalDuty"":171,""totalTax"":0,""landedCost"":3171},""formulaUsed"":""value * 0.057"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-029,Copper wire CN - 3% base + Section 301 25%,7408.11.60.00,CN,5000,ERROR,150,0,,1900,0,,,,"{""base"":""value * 0.03"",""section_301"":""value * 0.25"",""section_122"":""value * 0.100"",""metal_tariff"":""copper_value * 0.5""}",,"HTS error: {""calculationId"":""CALC-1775229843532-CPVHNP"",""baseDuty"":150,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":150,""landedCost"":5150,""breakdown"":{""baseDuty"":150,""additionalTariffs"":[],""taxes"":[],""totalDuty"":150,""totalTax"":0,""landedCost"":5150},""formulaUsed"":""value * 0.03"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null}"
TC-030,Toys CN - free base rate,9503.00.00,CN,500,ERROR,0,0,,0,0,,,,{},,"HTS error: {""calculationId"":""CALC-1775229844474-H8LL4Q"",""baseDuty"":0,""additionalTariffs"":0,""totalTaxes"":0,""totalDuty"":0,""landedCost"":500,""breakdown"":{""baseDuty"":0,""additionalTariffs"":[],""taxes"":[],""totalDuty"":0,""totalTax"":0,""landedCost"":500},""formulaUsed"":""0"",""rateSource"":""general"",""confidence"":0.9,""tradeAgreementInfo"":null} | AI: BLOCKED (Invalid HTS code: 9503.00.00)"
