"hts_code","custom_description"
"6302.60.00.10","Towel to Cross Stitch by Dohler - Available in Bath, Hand and Finger Towel"
"6302.60.00.10","Towel to Cross Stitch Towel - ""Verona"" - 14 Count Aida Inserted for Stitching"
"6302600020","100% cotton towel"
"6302600020","<b>cloth</b> wipes, cotton, reusable wash <b>cloth</b>"
"6302600020","<b>Cloth</b> Wipes, reusable washcloth"
"6302600020","<b>Cloth</b> Wipes, reusable washcloth, Black Hemp"
"6302600020","<b>Cloth</b> Wipes, reusable washcloth, Black Hemp, Bamboo, Cotto"
"6302600020","<b>Cloth</b> Wipes, reusable washcloth, cotton"
"6302600020","Facial Rounds, Cotton reusable face wipes"
"6302600020","Facial Rounds, Cotton reusable face wipes, Hemp, Bamboo"
"6302600020","Kids Napkins, cotton, kitchen linen"
"6302600020","Mop Pads, reusable sweeper cover, cotton"
"6302600020","Non-Paper Towels, cotton, kitchen linen"
"6302600020","Pre-Rolled Non-Paper Towels, cotton, kitchen linen towels"
"6302600020","Pre-Rolled Reusable Non-Paper Towels"
"6302600020","Tush Towels, cotton toilet wipes"
"6302600020","Washcloths, organic cotton muslin"
"6302600020","Washcloths - Organic Muslin - Rose Garden"
"6302.60.0020","Cotton Bath Towel"
"6302.60.0020","Cotton Bath Towel Promotional <b>Sample</b>"
"6302.60.0020","Embroidered Linen cocktail napkins"
"6302.60.00.20","<b>Cloth</b> Napkins, organic cotton, kitchen linen"
"6302.60.00.20","vintage terry towel cotton78%"
"6302.60.00.30","100% cotton, handmade kitchen towels"
"6302.60.00.30","Handmade 100% cotton kitchen towels"
"6302.91.0005","cotton towels"
"6302.91.00.05","Folding <b>Clothes</b> Basket"
"6302.91.00.25","Cotton tea towel"
"6302.91.00.35","Set of 5 French 100% Cotton Tea Towels / Jacquard Kitchen Towels / Woven Dish Towels"
"6302.91.00.35","SET OF 5 French 100% Cotton Tea Towels / Jacquard Kitchen Towels / Woven Dish Towels"
"6302.91.0045","Crocheted Hanging Kitchen Towel: Hudson Bay Stripe Cotton Hand Towel"
"6302.91.0045","Cute Bread Hanging Hand Towel | Plush Microfiber Kitchen <b>Cloth</b>"
"6302.91.0045","Hanging Kitchen Tea Towel: Crochet, Cotton, Canadian Decor - US Tariff Free"
"6302.91.00.45","VINTAGE BIB APRON"
"6302.91.00.50","Hand-Printed 100% Cotton Tea Towels"
"6302932000","bath mitt"
"6302932000","Seshin Korean Scrub Mitt"
"6302992000","<b>herb</b> tea towel - hemp and cotton - black"
"6302992000","woven linen tissue covers - oatmeal square"
"6302.992000","woven linen tissue cover"
"6302.992000","woven tissue cover"
"6302.99.20.00","woven linen tissue cover"
"6303.91.00.10","Oven Curtain"
"6303.92.20.10","fabric swatch"
"6303.92.20.50","Sleepout- Home Blackout Curtains - 50""x84"" - 2 Panels - Cream White"
"6304.11.2000","Daisy Flower Crochet Pillow"
"6304910120","Handmade cotton crochet Bible cover, shell-stitch pattern"
"6304910120","Handmade cotton crochet Bible cover, shell-stitch pattern, baby blue color"
"6304910120","Handmade cotton crochet Bible cover, shell-stitch pattern, cream color"
"6304910120","Handmade cotton crochet Bible cover, shell-stitch pattern, leaf color"
"6304910120","Handmade cotton crochet Bible cover, shell-stitch pattern, midnight color"
"6304910120","Handmade cotton crochet Bible cover, shell-stitch pattern, mocha color"
"6304.91.01.40","CROCHET DOOR KNOB COVER"
"6304920000","handmade cotton oven mitt"
"6304.92.0000","Pink checks Cushion Cover - 16 by 16 Inches"
"6304.92.0000","textile sofa slipcover (furniture cover), cotton"
"6304.92.00.00","1 Vintage <b>Souvenir</b> Italy Le Tre Venezie Tea Towel. New Never Used"
"6304.92.00.00","6 Yellow Linen Embroidered Floral 6 Pcs Napkins - Yellow Mimosa Flower Branch - New never used. Old/New stock. Made of textured Cotton."
"6304.92.00.00","Cotton textile furnishing cover slipcover"
"6304.92.00.00","Handmade Cat and Coffee Oven Mitt - Cute Kitchen <b>Gift</b> for Cat and Coffee Lovers- Oven Mitt and Potholder Set - House Warming <b>Gift</b>"
"6304.93.0000","fabric wall hanging"
"6304.93.00.00","Anime Wall Tapestry | <b>Custom</b> Woven Throw Blanket | Aesthetic Room Decor"
"6304.99.10.00","Easter Rainbow Spring Garden Felt Pom Pom Garland/ Pastel Spring Decor/Felt garland/Spring Felt balls/ Spring Decor/Spring Party Decor"
"6304.99.10.00","handmade Neutral Blush Bunny Carrot Spring Easter Felt Pom Pom Garland/Spring Easter Mantel Decor/Spring Felt balls/ Easter Party /Bunny Birthday"
"6304.99.10.00","Handmade Neutral Blush Bunny Carrot Spring Easter Felt Pom Pom Garland/Spring Easter Mantel Decor/Spring Felt balls/ Easter Party /Bunny Birthday"
"6304.99.10.00","handmade Spring Boho Felt Pom Pom Garland/ Spring Decor/Felt Ball Pompom garland/Spring Felt balls/ Party banner/Felt ball garlands/Girl's room"
"6304.99.10.00","handmade Spring Easter Bunny Felt Pom Pom Garland/ Easter Decor/Easter Egg Pompom garland/Spring Felt balls/ Easter Party Decor /Felt ball garland"
"6304.99.10.00","Handmade Spring Easter Bunny Felt Pom Pom Garland/ Easter Decor/Easter Egg Pompom garland/Spring Felt balls/ Easter Party Decor /Felt ball garland"
"6304.99.10.00","Handmade Twodles Cake topper,Mouse 2nd Birthday, Girl's Mouse Birthday, Oh twodles pink decor, I'm Twodles, Pink party decor, Two Birthday"
"6304.99.10.00","Spring Easter Bunny Felt Pom Pom Garland/ Easter Decor/Easter Egg Pompom garland/Spring Felt balls/ Easter Party Decor /Felt ball garland"
"6304.99.40.00","children's chapter book"
"6304.99.40.00","wool pillow cover"
"6305.20.0000","Chopstick sleeve/ cotton fabric"
"6305.20.0000","Chopsticks sleeve/cotton sleeve"
"6305.20.0000","cotton storage bag set"
"6305.20.0000","Cotton storage bag set"
"6305.20.00.00","beeswax 100% cotton bag"
"6305.20.00.00","Beeswax Bread Bag Reusable Sourdough Bread Pastries Baker <b>Gift</b> For Her/Him Mother's Day Birthday Black Friday Christmas"
"6305.20.00.00","beeswax cotton bag"
"6305.20.00.00","Cotton <b>Gift</b> Bag"
"6305.20.00.00","cotton tote"
"6305.20.00.00","handmade knit bag"
"6305.20.00.00","Lion Party Favor Bags, Wild One Birthday, 1st birthday lion, Safari Party, Boy safari party, Grab Bag, DIY Birthday"
"6305.20.00.00","POUCH"
"6305.20.00.00","tote bag"
"6305.33.00.60","Knapsack"
"6305.33.00.80","AUBREY'S BUNDLE"
"6305.33.00.80","DO YOU KNOW WHO MY FATHER IS? (HIMALAYA)"
"6305.33.00.80","DO YOU LIVE AROUND HERE? (EMERALD)"
"6305.33.00.80","GENTRIFIED NEIGHBORHOOD (RUSTIC BLACK)"
"6305.33.00.80","GUCCHEAP"
"6305.33.00.80","I CAN'T DECIDE BUNDLE"
"6305.33.00.80","I DON'T CHECK THE PRICE (CHERRY RED)"
"6305.33.00.80","I DON-T KNOW, ASK THE POOL BOY (COBALT)"
"6305.33.00.80","I JUST GOT THEM DONE (BLACK)"
"6305.33.00.80","I'M A REGULAR AT NOBU (BROWN)"
"6305.33.00.80","I WANT TO TALK TO YOUR MANAGER (COGNAC)"
"6305.33.00.80","MYSTERY BOX"
"6305.33.00.80","PULL LETTER UK , SS24 SUPER MINI BAG (CHERRY)"
"6305.33.00.80","reusable <b>grocery</b> bag"
"6305.33.00.80","Reusable Shopping Bags"
"6305.33.00.80","THE <b>CUSTOMER</b> IS ALWAYS RIGHT! (PINK)"
"6305.33.00.80","TITA BABY (MULTI)"
"6305.90.00.00","100% velvet pouch"
"6305.90.00.00","Textile sports equipment bag, man-made fibers"
"6306.12.00.00","Polyester Backpack Cover"
"6306.22.10.00","Tent <b>Replacement</b> <b>Accessories</b> Vinyl Disposable Ground Sheet"
"6306.90.1000","<b>toy</b> basket RING beige"
"6306.90.50.00","Polyester Tarpaulin for storage"
"6307101020","<b>Jewelry</b> <b>Polishing</b> <b>Cloth</b> and gold, silver <b>polisher</b> - Small"
"6307.102005","crochet dish <b>cloth</b> hand made with cotton yarn"
"6307.10.2027","Cotton Dish <b>Cloth</b>/patterned fabric"
"6307.10.2027","Dishcloths Washcloths, Crochet Cotton, Eco Friendly Durable Hudson Bay HBC Stripe Inspired - US Tariff Free"
"6307.10.2027","Dishcloths Washcloths, Crocheted Cotton, Eco Friendly Durable - US Tariff Free"
"6307.10.20.27","Swedish dish <b>cloth</b>"
"6307102028","homemade dish <b>cloths</b> - polyester blend fabric with allover dyed print"
"6307.10.20.30","2 KD <b>Cloth</b> Bundle"
"6307903010","FFXIV Job Story Embroidered Tag - DRK"
"6307903010","FFXIV Job Story Embroidered Tag - NIN"
"6307903010","plush keychain"
"6307.90.30.10","Handmade Crochet Textile Keychain"
"6307903020","Handmade wool felt decorative figure for newborn photography prop use"
"6307903020","Handmade wool felt decorative figure for newborn photography use"
"6307903020","Light Sport Pitot Plug Kit"
"6307903020","Red Orange Reflective Danger Tag"
"6307903020","Remove Before Flight Flag"
"6307903020","Universal Pitot Tube Cover"
"6307903020","XL Remove Before Flight Flag 3x18"
"6307.90.3020","Fabric wine bottle cover"
"6307.90.3020","Fabric Wine Bottle Cover"
"6307.90.3020","Fabric Wine Cover"
"6307.90.30.20","2x14- Take Off Eh! Tag"
"6307.90.30.20","Angled Pitot Tube Cover"
"6307.90.30.20","Extra clasp for motion capture device"
"6307.90.30.20","Large Angled Pitot tube aircraft cover"
"6307.90.30.20","sewing pattern"
"6307.90.30.20","Synthetic Leather Luggage Tags"
"6307.90.40.10","Handmade keychain using cotton"
"6307.90.40.10","handmade photo frame using cotton cords"
"6307.90.40.10","handmade Wristlet made with cotton"
"6307.90.40.10","Macrame Phone Lanyard Wristlet - Handmade Cotton Boho Strap Keychain"
"6307.90.40.10","Macrame Wristlet Keychain - Handmade Cotton Boho Key Ring for Women <b>Gifts</b>"
"6307904020","Wishing Star - Cup Sleeve set"
"6307.90.4020","18 x 24 Garden Flag - C&C Yacht Logo"
"6307.90.4020","Double-Sided Flag (<b>Medicine</b> Wheel)"
"6307.90.4020","Flag 18 x 24 C&C Yacht Logo"
"6307.90.4020","Single-Sided Flag - Anishnaabe"
"6307.90.4020","Single-Sided Flag - <b>Medicine</b> Wheel"
"6307.90.4020","Single-Sided Flag (<b>Medicine</b> Wheel)"
"6307.90.40.20","Lanyard Keychain"
"6307.90.40.20","yards upholstery trim green"
"6307905020","Avalon Green Dress Shoelace - Neon (Length: 27""/69cm)"
"6307905020","Cambridge Dress Shoelace (Length: 32""/81cm) Maroon"
"6307905020","Chicago Blue Dress Laces (Length: 32""/81cm)"
"6307905020","Edmond Cream Dress Laces (Length: 27""/69cm)"
"6307905020","Folsom Black Dress Shoelace (Length: 27""/69cm)"
"6307905020","Folsom Black Dress Shoelace (Length: 32""/81cm)"
"6307905020","Gipper Brown Dress Shoelace (Length: 32""/81cm)"
"6307905020","Isolar Silver Dress Shoelace (Length: 27""/69cm)"
"6307905020","Mission Blue Boot Shoelace (Length: 54""/137cm)"
"6307905020","Mission Blue Dress Shoelace (Length: 27""/69cm)"
"6307905020","Mission Blue Dress Shoelace (Length: 32""/81cm)"
"6307905020","Monaco Dress Shoelace (Length: 32""/81cm)"
"6307905020","Moville Green Boot Shoelace (Length: 54""/183cm)"
"6307905020","Moville Green Boot Shoelace (Length: 72""/183cm)"
"6307905020","Portsalon Red Sneaker Lace (Length: 45""/114cm)"
"6307905020","Tuxedo Dress Shoelace (Length: 32""/81cm)"
"6307.90.5020","Navy Polyester Shoelaces"
"6307.90.5020","Shoe Laces"
"6307.90.5020","Shoe Laces - Red #55"
"6307.90.60.90","Sewing Pattern (Butterick 3255 )"
"6307.90.60.90","Sewing Pattern ( SImplicity 1715)"
"6307.90.60.90","Sewing Pattern (Simplicity 5993 )"
"6307.90.60.90","Sewing Pattern ( Vogue 7569 )"
"6307.90.60.90","Vintage Paper Sewing Pattern"
"6307907500","Dog plush <b>toy</b> - diamond ring box design, polyester & cotton fabric"
"6307907500","Handmade cat dolls-wire&faux fur"
"6307907500","stuffed <b>toy</b> anumal"
"6307907500","stuffed <b>toy</b> plush teddy bear"
"6307.90.7500","Dog snuffle <b>toy</b>, 60% cotton 40% polyester, for pet play"
"6307.90.7500","Handmade Wool Cat <b>Toy</b> Balls - Owl, Penguin, Siamese, Whale Set"
"6307.90.7500","Plush dog <b>toy</b>, polyester filling, squeaker . For pet use only."
"6307.90.75.00","100% cotton pet Bandana"
"6307.90.75.00","100% cotton pet <b>clothing</b> for dogs, including shirts and jackets, black dog sweatshirt with printed graphic on <b>back</b>"
"6307.90.75.00","100% polyester yarn and metal keychain ring crochet ball keychain"
"6307.90.75.00","1 <b>Toy</b> teddy doll, 1 magazine"
"6307.90.75.00","50% cotton 50% poly Pet Band"
"6307.90.75.00","Fruit Capybara Cat Scratcher - Sisal Rope Mat | Wall-Mount or Floor Pad | Cute Capybara Design | Anti-Slip & Durable"
"6307.90.75.00","Luca Plushie"
"6307.90.75.00","Pillow Case"
"6307.90.75.00","Plush keychain"
"6307.90.75.00","Potato bag charm, key chain, veggie bag charm, kawaii charm, fruit and veggie charm, kawai veggie keychain"
"6307.90.75.00","Ribbon dog bow for puppies made of fabric with rubber band attachment, specifically designed as a pet <b>accessory</b>"
"6307.90.75.00","stuffed plush <b>toy</b> dog made of polyester and a height of 9 inches"
"6307.90.75.00","woolen BaBY TEDDY BEAR, teddy bear book"
"6307908500","Printed Polyester Flag"
"6307908500","tassel keychain"
"6307.90.8500","<b>Personalized</b> Pennant Flag"
"6307.90.8500","Handmade Felt Nursery Pennant Flag"
"6307.90.8500","Handmade Wool Felt Pennant Flag For Kids"
"6307.90.8500","Kids Wool Felt Pennant Flag"
"6307.90.8500","Light Brown Wool Blanket"
"6307.90.8500","""So Many Things Are Dumb"" Pennant"
"6307.90.85.00","1994 Vintage Rage Against the Machine Nylon Banner Flag Tapestry 42 x 29 cm"
"6307.90.85.00","Anishinaabe Thunderbird Flag: 5ft x 3ft (150 x 90 cm)"
"6307.90.85.00","<b>Custom</b> Knit Acrylic wool and aluminum Wire Word"
"6307.90.85.00","canvas banner"
"6307.90.85.00","Canvas Banner"
"6307.90.85.00","Decorative wall banner made of cardstock and fabric designed for festive home decoration, featuring <b>seasonal</b> designs"
"6307.90.85.00","Handheld Canvas Flags with Plastic Sticks"
"6307.90.85.00","Handheld Canvas Flag with Plastic Stick"
"6307.90.85.00","Handmade party banners (festive decorations) - card stock based"
"6307.90.85.00","Knitted Wool and Aluminum Wire Name Sign, Baby Nursery Decor, <b>Personalized</b> Kids Bedroom Sign"
"6307.90.85.00","Knitted Wool and Aluminum Wire Words, Baby Nursery Decor, Kids Bedroom <b>Personalized</b> Word Signs"
"6307.90.85.00","Large Knitted Wool and Aluminum Wire Name Signs, Baby Nursery Decor, Kids Bedroom <b>Personalized</b> Name Sign"
"6307.90.85.00","MMIWG Flag, <b>Medicine</b> Wheel Flag, No More Stolen Sisters, Missing and Murdered Indigenous Women Flag"
"6307.90.89.45","Coffee with Milk Knot Pillow - Panmilli | Sphere Ball pillows | Decorative cushion | Modern Knot Pillows | Neutical | Scandinavian decor"
"6307.90.89.45","Light Brown Plush Knot Pillow: Scandinavian Decorative Cushion"
"6307.90.89.45","Luca Plushie"
"6307.90.89.85","100% Cotton Heat Pack"
"6307.90.89.85","Underarm Dress Shields"
"6307908995","100% Polyester Lanyard, printed pink and blue"
"6307.90.98.25","100% polyester flag"
"6307.90.98.35","Flag"
"6307.90.9842","NEOPRENE BEVERAGE HOLDER SLEEVES"
"6307.90.9842","Pennant Hanging Banner to Cross Stitch 10"" x 12"" (26 x 30cm)/ AIDA Banner"
"6307.90.98.44","Mini Banner"
"6307.90.98.50","<b>Replacement</b> Filter kit"
"6307.90.98.50","<b>Replacement</b> HEPA filter"
"6307.90.98.50","McCall's Sewing Pattern number 826"
"6307.90.98.50","McCall's Sewing Pattern number 9135"
"6307.90.98.50","McCall's Sewing Pattern number M6247"
"6307909870","Face disposable <b>masks</b>"
"6307.90.9875","<b>eye</b> lace <b>mask</b>"
"6307.90.9875","<b>eye</b> lace <b>mask</b> with elastic"
"6307.90.9875","<b>Eye</b> lace <b>mask</b> with elastic"
"6307.90.9875","<b>eye</b> lace <b>mask</b> with ribbon"
"6307.90.9875","<b>Eye</b> lace <b>mask</b> with ribbon"
"6307.90.9875","<b>eye</b> lace <b>mask</b> with ribbons"
"6307.90.9875","<b>Eye</b> lace <b>mask</b> with ribbons"
"6307.90.9875","<b>eye</b> lace <b>masks</b> with elastic"
"6307.90.9875","<b>eye</b> lace <b>masks</b> with ribbons"
"6307.90.9875","rye lace <b>mask</b> with elastic"
"6307.90.98.75","SILK FACE <b>MASK</b>"
"6307.90.9887","32 Brown Chair Leg Floor Protectors"
"6307909891","3 pcs embroidery hoop for needlework"
"6307909891","<b>Snack</b> & Sandwich Bag, reusable cotton"
"6307909891","Cargo Cover"
"6307909891","Golf club headcover, PU-coated textile"
"6307909891","Handmade in Canada wool felt mobile, English wool, assembly parts from China, not a <b>toy</b>"
"6307909891","Laundry Bag - Organic Cotton - LARGE"
"6307909891","Laundry Bag, organic cotton mesh"
"6307909891","PU-coated textile golf club headcover"
"6307.90.9891","24oz Mason Jar Cozies set of 4"
"6307.90.9891","cotton fabric keychain"
"6307.90.9891","cotton fabric Keychain"
"6307.90.9891","Cotton fabric keychain"
"6307.90.9891","Cotton Fabric Keychain"
"6307.90.9891","Crochet Flower Bookmark - US Tariff Free"
"6307.90.9891","DMC Embroidery Floss hand-knotted keychain: American Flag Design"
"6307.90.9891","DMC Embroidery Floss Hand-Knotted Keychain: American Flag, USA Design"
"6307.90.9891","DMC Embroidery Floss Hand-Knotted Keychain: Pride Flag Design"
"6307.90.9891","Embroidered Keychains"
"6307.90.9891","fabric lanyard"
"6307.90.9891","Handmade in Canada: wool felt decor from English wool, assembly parts from China. Not a <b>toy</b>"
"6307.90.9891","handmade knitted washcloth"
"6307.90.9891","lanyard"
"6307.90.9891","Macrame Hanging Shelf"
"6307.90.9891","Strawberry Daiquiri Mason Jar Cozy: Crochet Pint Jar Sleeve - US Tariff Free"
"6307.90.98.91","Crochet Book Cover - <b>Custom</b> Quran/ Bible/Book Sleeve"
"6307.90.98.91","enamel pin"
"6307.90.98.91","flag"
"6307.90.98.91","hand flag"
"6307.90.98.91","Handmade quilted tea cozy for teapot"
"6307.90.98.91","keytag"
"6307.90.98.91","Keytag"
"6307.90.98.91","Laundry Bag, organic cotton mesh"
"6307.90.98.91","Laundry Bag, organic cotton mesh, small, large or jumbo size"
"6307.90.98.91","Pincushion - Embroidered Textile"
"6307.90.98.91","Pin Cushion - Embroidered Textile"
"6307.90.98.91","polyester festival flag"
"6308.00.0010","Needlecraft set"
"6308.00.00.10","Needlecraft set"
"6308.00.00.10","Used hat"
"6308000020","Quilt The North quilt subscription box containing fabric, patterns & <b>accessories</b>"
"6308.00.0020","<b>Custom</b> Designed DIY Cross-Stitch Kit"
"6308.00.0020","<b>Custom</b> Designed DIY Cross-Stitch Kit: Your Words Here!"
"6308.00.0020","Beaded Bag Kit (Small)"
"6308.00.0020","DIY Bead Embroidery Kit"
"6308.00.0020","DIY Cross-Stitch Kit"
"6308.00.0020","DIY Cross-Stitch Kit with frame"
"6308.00.0020","Embroidery Kit ""Aperol Spritz"" (Tote Bag / One Size / White)"
"6308.00.0020","Embroidery Kit ""Cherries"""
"6308.00.0020","Embroidery Kit ""Chili Pepper"""
"6308.00.0020","Embroidery Kit ""Cowgirl Boot"""
"6308.00.0020","Embroidery Kit ""Diet Coke"""
"6308.00.0020","Embroidery Kit ""Espresso Martini"""
"6308.00.0020","Embroidery Kit ""Hibiscus"" (Blue)"
"6308.00.0020","Embroidery Kit ""Martini"""
"6308.00.0020","Embroidery Kit ""Olives"""
"6308.00.0020","Embroidery Kit ""Olives"" (Tote Bag / One Size / Black)"
"6308.00.0020","Embroidery Kit ""Olives"" (Tote Bag / One Size / White)"
"6308.00.0020","Embroidery Kit ""Olives"" (T-Shirt / XL / White)"
"6308.00.0020","Embroidery Kit ""Pink Bow"""
"6308.00.0020","Embroidery Kit ""Silly Goose"""
"6308.00.0020","Handmade Bead Embroidery ""Dogs"""
"6308.00.0020","Handmade Bead Embroidery ""Turtle"""
"6308.00.0020","Janlynn Jolly Christmas Ornaments Set of 18 Cross Stitch Kit 77-625 New"
"6308.00.0020","needlework set"
"6308.00.0020","Rug Making Kit ""Cherries"""
"6308.00.00.20","<b>Customized</b> Bra Fabrics Kit"
"6308.00.00.20","Bra Kit"
"6308.00.00.20","Bra Kits"
"6308.00.00.20","Bra-Making Kit"
"6308.00.00.20","Bra-Making Kit - Sewing Bras Construction Fit"
"6308.00.00.20","cotton craft kit for printing, includes wood stick and yarn materials"
"6308.00.00.20","cross stitch kit other"
"6308.00.00.20","DIY Embroidery Needle Craft Set"
"6308.00.00.20","Duo Bra Kit with Fabric and Findings"
"6308.00.00.20","embroidery kit: paper, embroidery needle, cotton embrodiery floss, preprinted dissolving stabilizer with floral templates"
"6308.00.00.20","embroidery pack: embroidery needle, paper, cotton embroidery floss, embroideyr paper"
"6308.00.00.20","MINI SEWING KIT for Sew-on Fabric Patches"
"6308.00.00.20","Vintage Bucilla Noah's Ark Plastic Canvas Cross Stitch/Vintage Bible Story Cross Stitch Kit"
"6309000010","Gray hoodie mens"
"6309000010","Jacket"
"6309000010","Men's Insulated Polyester Jacket"
"6309000010","Mens shirt black"
"6309000010","Sports Varsity Jacket"
"6309000010","Used Jacket"
"6309000010","Used khaki mens basebcall cap strap bacl"
"6309000010","used pants"
"6309000010","used sweatshirt"
"6309000010","vintage harris tweed made in usa wool blazer"
"6309000010","vintage hawaiian mens shirt cotton"
"6309000010","Vintage Jeans"
"6309000010","vintage kids <b>clothes</b> button up shirt"
"6309000010","vintage kids <b>clothes</b> cotton button up"
"6309000010","vintage kids <b>clothes</b> cotton dress"
"6309000010","vintage kids <b>clothes</b> cotton pants"
"6309000010","vintage kids <b>clothes</b> cotton snow suit"
"6309000010","vintage kids <b>clothes</b> cotton sweatshirt"
"6309000010","vintage kids <b>clothes</b> jacket"
"6309000010","vintage kids <b>clothes</b> sweater"
"6309000010","vintage kids slippers shoes"
"6309000010","Vintage Skirt"
"6309000010","Vintage T-Shirt"
"6309000010","Vintage used detroit redwings hat red"
"6309000010","vintage used worn <b>clothing</b> cotton denim jacket"
"6309000010","vintage used worn <b>clothing</b> mens knit sweater acrylic"
"6309000010","vintage womens cotton blouse"
"6309000010","Vintage worn 100 % nylon windbreaker"
"6309000010","WOOL pendleton blanket"
"6309000010","Worn Leather Tote Bag"
"6309.00.0010","100% cotton shirt"
"6309.00.0010","100% Wool Male Suit"
"6309.00.0010","50% polyester 50% mixed metals neck tie"
"6309.00.0010","baseball hat"
"6309.00.0010","mens cotton button up"
"6309.00.0010","Men's cotton hoodie"
"6309.00.0010","mens cotton jersey"
"6309.00.0010","mens cotton t shirt"
"6309.00.0010","Men's cotton t shirt"
"6309.00.0010","mens denim coveralls"
"6309.00.0010","mens poly shirt"
"6309.00.0010","Second-Hand Bobo Choses BC Print Woven Dress"
"6309.00.0010","Second-Hand Bobo Choses Bunny Print Sweater Dress"
"6309.00.0010","Second-Hand Bobo Choses Textured Teacups Dress"
"6309.00.0010","Second-Hand Jelly Mallow Shooting Stars Sweatshirt"
"6309.00.0010","Second-Hand The Animals Observatory Baltimore Kids Museum Sweatshirt"
"6309.00.0010","Second-Hand The Animals Observatory Bonjour Tank"
"6309.00.0010","Second-Hand Tinycottons Turtleneck Grid Dress"
"6309.00.0010","Used men's cotton grey zip-up hoodie"
"6309.00.0010","used second hand sweater"
"6309.00.0010","used tshirt"
"6309.00.0010","Used vintage <b>clothing</b>"
"6309.00.0010","vintage graphic t-shirt"
"6309.00.0010","Vintage Melissa ballet flats"
"6309.00.0010","Vintage style <b>clothing</b>"
"6309.00.0010","Vintage style tee"
"6309.00.0010","Vintage Style Top"
"6309.00.0010","Vintage style tops"
"6309.00.0010","womens used belt"
"6309.00.0010","worn <b>clothing</b> bundle: shirts, polyester and cotton, denim jeans, hoodie polyester and cotton mix"
"6309.00.00.10","100% Cotton Tshirt"
"6309.00.00.10","1 cotton/poly blend sweater and pant"
"6309.00.00.10","50/50 Cotton Poly Blend T-Shirt"
"6309.00.00.10","50/50 cotton poly sweatshirt"
"6309.00.00.10","black cotton tee"
"6309.00.00.10","Brown polyester jacket men-s"
"6309.00.00.10","Button-Up Shirt"
"6309.00.00.10","Corduroy jacket"
"6309.00.00.10","cotton blazer"
"6309.00.00.10","cotton cardigan"
"6309.00.00.10","cotton jeans"
"6309.00.00.10","Cotton / Poly Mix hoodie sweater"
"6309.00.00.10","cotton shirt"
"6309.00.00.10","Cotton Shirt"
"6309.00.00.10","Cotton Sweatshirt"
"6309.00.00.10","Cotton T shirt"
"6309.00.00.10","Denim jacket"
"6309.00.00.10","Fabric <b>Clothes</b> Organizer"
"6309.00.00.10","Fleece sweater"
"6309.00.00.10","Graphic Print Sweatshirt"
"6309.00.00.10","Graphic t-shirt"
"6309.00.00.10","Graphic T-Shirt"
"6309.00.00.10","Graphic T-Short"
"6309.00.00.10","Just Don Men's Toronto Raptors Shorts Purple -Retro Inspired -Made in USA"
"6309.00.00.10","Kennedy-Space-Center Snoopy Shuttle Command T-Shirt | Vintage '80s Peanuts NASA Graphic Tee | Space Collector's Shirt"
"6309.00.00.10","knit jacket"
"6309.00.00.10","Knit sweater"
"6309.00.00.10","Leather jacket"
"6309.00.00.10","Made in usa sweater"
"6309.00.00.10","made in usa vintage eagles t shirt"
"6309.00.00.10","Men Leather Belt"
"6309.00.00.10","men's cotton blue jeans"
"6309.00.00.10","men's pants"
"6309.00.00.10","Mens Vintage Marithe Francois Girbaud Denim Jeans made mexico used"
"6309.00.00.10","men's windbreaker"
"6309.00.00.10","new york rangers used hat"
"6309.00.00.10","NoFear Motocross Pants | Vintage Racing Protective Gear Trousers | Futuristic Sportswear"
"6309.00.00.10","Patagonia Men's Navy Logo Pocket T Shirt"
"6309.00.00.10","Plaid button-up"
"6309.00.00.10","plastic <b>gift</b> card"
"6309.00.00.10","polyester jacket"
"6309.00.00.10","polyester skirt"
"6309.00.00.10","purse"
"6309.00.00.10","second hand <b>clothes</b>"
"6309.00.00.10","shoes"
"6309.00.00.10","Tee"
"6309.00.00.10","The North Face Men's Black Puffer Vest XXL"
"6309.00.00.10","Thomas Kinkade Country Cabin Print Crewneck T-shirt/Y2K"
"6309.00.00.10","Triple-Five-Soul Zip Hoodie | Vintage 2000s Black Full Zip Hooded Sweatshirt | Classic Streetwear Layer"
"6309.00.00.10","T shirts cotton"
"6309.00.00.10","used baseball jersey"
"6309.00.00.10","Used <b>Clothing</b>"
"6309.00.00.10","Used <b>Clothing</b> - Vintage Dress"
"6309.00.00.10","Used black cotton t shirt"
"6309.00.00.10","used black leather women's jacket"
"6309.00.00.10","used black polyester jacket"
"6309.00.00.10","used black polyester jacket men's"
"6309.00.00.10","used black polyester kids jersey"
"6309.00.00.10","used black polyester men's jacket"
"6309.00.00.10","used black polyester men's jacket m"
"6309.00.00.10","Used black polyester men-s vest"
"6309.00.00.10","used black wool jacket"
"6309.00.00.10","Used blue cotton men-s sweater"
"6309.00.00.10","used blue cotton polyester shirt"
"6309.00.00.10","used blue polyester and cotton women's pants"
"6309.00.00.10","used blue polyester jersey"
"6309.00.00.10","Used blue polyester jersey"
"6309.00.00.10","Used boots"
"6309.00.00.10","used brown cotton pants"
"6309.00.00.10","Used cargo pants"
"6309.00.00.10","Used cotton beige t-shirt"
"6309.00.00.10","used cotton hoodie men's blue"
"6309.00.00.10","used cotton longsleeve gray"
"6309.00.00.10","used cotton poly sweatshirt blue"
"6309.00.00.10","Used cotton red sweater"
"6309.00.00.10","Used cotton shirt"
