chapter,rank_in_chapter,hts8,api_hts_number,brief_description
02,17,02013080,0201.30.80,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"
02,18,02021005,0202.10.05,"Bovine carcasses and halves, frozen, descr. in gen. note 15 of the HTS"
02,19,02021010,0202.10.10,"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2"
02,20,02021050,0202.10.50,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2"
03,1,03011100,0301.11.00,Live ornamental freshwater fish
03,2,03011900,0301.19.00,"Live ornamental fish, other than freshwater"
03,3,03019100,0301.91.00,Live trout
03,4,03019200,0301.92.00,Live eels
03,5,03019302,0301.93.02,Live carp
03,6,03019401,0301.94.01,"Other live Fish, Atlantic & Pacific Bluefin Tunas"
03,7,03019500,0301.95.00,"Other live Fish, Southern Bluefin Tunas"
03,8,03019903,0301.99.03,"Live Tench (Tinca Tinca), sheatfish (Silurus Glanis), bighead carp (Aristichthys Nobilis) and other fish, NESOI"
03,9,03021100,0302.11.00,"Trout, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,10,03021300,0302.13.00,"Pacific salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,11,03021400,0302.14.00,"Atlantic and Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,12,03021900,0302.19.00,"Salmonidae other than trout or Pacific, Atlantic & Danube salmon, fresh or chilled, excluding fillets, other meat portions, livers & roes"
03,13,03022100,0302.21.00,"Halibut and Greenland turbot, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,14,03022200,0302.22.00,"Plaice, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,15,03022300,0302.23.00,"Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,16,03022400,0302.24.00,Turbots
03,17,03022901,0302.29.01,"Flat fish, nesoi, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,18,03023100,0302.31.00,"Albacore or longfinned tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,19,03023200,0302.32.00,"Yellowfin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes"
03,20,03023300,0302.33.00,"Skipjack or stripe-bellied bonito, fresh or chilled, excluding fillets, other meat portions, livers and roes"
04,1,04011000,0401.10.00,"Milk and cream, unconcentrated, with no added sweeteners, fat content, by weight, not more than 1 percent"
04,2,04012020,0401.20.20,"Milk and cream, unconcentrated, unsweetened, fat content over 1% but n/o 6%, for not over 11,356,236 liters entered in any calendar year"
04,3,04012040,0401.20.40,"Milk and cream, unconcentrated, unsweetened, fat content over 1% but not over 6%, for over 11,356,236 liters entered in any calendar year"
04,4,04014002,0401.40.02,"Milk and cream, not concentrated, not sweetened, fat content o/6% but not o/10%, subject to gen. note 15 of the HTS"
04,5,04014005,0401.40.05,"Milk and cream, not concentrated, not sweetened, fat content o/6% but not o/10%, subject to add. US note 5 to Ch. 4"
04,6,04014025,0401.40.25,"Milk and cream, not concentrated, not sweetened, fat content o/6% but not o/10%, not subject to gen. nte 15 or add. nte 5 to Ch. 4"
04,7,04015002,0401.50.02,"Milk and cream, not concentrated, not sweetened, fat content o/10% but not o/45%, subject to gen. note 15 of the HTS"
04,8,04015005,0401.50.05,"Milk and cream, not concentrated, not sweetened, fat content o/10% but not o/45%, subject to add. US note 5 to Ch. 4"
04,9,04015025,0401.50.25,"Milk and cream, not concentrated, not sweetened, fat content o/10% but not o/45%, not subject to gen. nte 15 or add. nte 5 to Ch. 4"
04,10,04015042,0401.50.42,"Milk and cream, not concentrated, not sweetened, fat content o/45%, subject to gen. note 15 of the HTS"
04,11,04015050,0401.50.50,"Milk and cream, not concentrated, not sweetened, fat content o/45%, subject to add. US note 6 to Ch. 4"
04,12,04015075,0401.50.75,"Milk and cream, not concentrated, not sweetened, fat content o/45%, not subject to gen. nte 15 or add. nte 6 to Ch. 4"
04,13,04021005,0402.10.05,"Milk & cream, concen or sweetened, in powder, granules or other solid forms, w/fat content by weight not o/1.5%, subj to GN15"
04,14,04021010,0402.10.10,"Milk & cream in powder granules/other solid forms fat content by weight not exceeding 1.5% whether/not sweetened, described in addl note 7"
04,15,04021050,0402.10.50,"Milk & cream in powder granules/other solid forms fat content by weight not exceeding 1.5% whether/not sweetened, nesoi"
04,16,04022102,0402.21.02,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/1.5% but not o/3%, subj to GN15"
04,17,04022105,0402.21.05,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/1.5% but not o/3%, subj Ch4 US note 7"
04,18,04022125,0402.21.25,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/1.5% but not o/3%, not subj GN15/Ch4 US note7"
04,19,04022127,0402.21.27,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/3% but not o/35%, subject to gen. note 15"
04,20,04022130,0402.21.30,"Milk & cream, concen, not sweetened, in powder/granules/oth solid forms, fat cont o/3% but not o/35%, subj to Ch 4 US note 7"
05,1,05010000,0501.00.00,"Human hair, unworked, whether or not washed and scoured; waste of human hair"
05,2,05021000,0502.10.00,"Pigs', hogs' or boars' bristles and hair and waste thereof"
05,3,05029000,0502.90.00,"Badger hair and other brushmaking hair, nesoi, and waste thereof"
05,4,05040000,0504.00.00,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof"
05,5,05051000,0505.10.00,"Feathers of a kind used for stuffing, and down"
05,6,05059020,0505.90.20,Feather meal and waste
05,7,05059060,0505.90.60,Skins and parts of birds with their feathers or down (except meal and waste) nesoi
05,8,05061000,0506.10.00,Ossein and bones treated with acid
05,9,05069000,0506.90.00,"Bones & horn-cores, unworked, defatted, simply prepared (but not cut to shape) or degelatinized; powder & waste of these products"
05,10,05071000,0507.10.00,"Ivory, ivory powder and waste"
05,11,05079000,0507.90.00,"Tortoise shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared; waste and powder"
05,12,05080000,0508.00.00,"Coral, shells, cuttlebone and similar materials, unworked or simply prepared, but not cut to shape; powder and waste thereof"
05,13,05100020,0510.00.20,"Ambergris, castoreum, civet, and musk used in the preparation of pharmaceutical products"
05,14,05100040,0510.00.40,"Cantharides; bile; glands and other animal products nesoi, used in pharmaceutical products"
05,15,05111000,0511.10.00,Bovine semen
05,16,05119100,0511.91.00,"Products of fish, crustaceans, molluscs or other aquatic invertebrates nesoi; dead animals of chapter 3, unfit for human consumption"
05,17,05119920,0511.99.20,Parings and similar waste of raw hides or skins; glue stock nesoi
05,18,05119930,0511.99.30,"Animal products chiefly used as food for animals or as ingredients in such food, nesoi"
05,19,05119933,0511.99.33,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material"
05,20,05119936,0511.99.36,Natural sponges of animal origin
06,1,06011015,0601.10.15,"Tulip bulbs, dormant"
06,2,06011030,0601.10.30,"Hyacinth bulbs, dormant"
06,3,06011045,0601.10.45,"Lily bulbs, dormant"
06,4,06011060,0601.10.60,"Narcissus bulbs, dormant"
06,5,06011075,0601.10.75,"Crocus corms, dormant"
06,6,06011085,0601.10.85,"Lily of the valley pips, dormant"
06,7,06011090,0601.10.90,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, nesoi, dormant"
06,8,06012010,0601.20.10,"Hyacinth bulbs, without soil attached, in growth or in flower"
06,9,06012090,0601.20.90,"Bulbs nesoi, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots"
06,10,06021000,0602.10.00,Unrooted cuttings and slips of live plants
06,11,06022000,0602.20.00,"Trees, shrubs, and bushes, grafted or not of kinds which bear edible fruits or nuts"
06,12,06023000,0602.30.00,"Rhododendron and azalea plants, grafted or not"
06,13,06024000,0602.40.00,"Rose plants, grafted or not"
06,14,06029020,0602.90.20,Live orchid plants
06,15,06029030,0602.90.30,"Live herbaceous perennials, other than orchid plants, with soil attached to roots"
06,16,06029040,0602.90.40,"Live herbaceous perennials, other than orchid plants, without soil attached to roots"
06,17,06029050,0602.90.50,Live mushroom spawn
06,18,06029060,0602.90.60,"Other live plants nesoi, with soil attached to roots"
06,19,06029090,0602.90.90,"Other live plants nesoi, other than those with soil attached to roots"
06,20,06031100,0603.11.00,"Sweetheart, Spray and other Roses, fresh cut"
07,1,07011000,0701.10.00,"Seed potatoes, fresh or chilled"
07,2,07019010,0701.90.10,"Yellow (Solano) potatoes, excluding seed"
07,3,07019050,0701.90.50,"Fresh potatoes, other than yellow (Solano) potatoes or seed potatoes"
07,4,07020020,0702.00.20,"Tomatoes, fresh or chilled, entered during Mar.1 to July 14, or the period Sept.1 to Nov.14 in any year"
07,5,07020040,0702.00.40,"Tomatoes, fresh or chilled, entered during July 15 to Aug.31 in any year"
07,6,07020060,0702.00.60,"Tomatoes, fresh or chilled, entered from Nov. 15 thru the last day of Feb. of the following year"
07,7,07031020,0703.10.20,"Onion sets, fresh or chilled"
07,8,07031030,0703.10.30,"Pearl onions not over 16 mm in diameter, fresh or chilled"
07,9,07031040,0703.10.40,"Onions, other than onion sets or pearl onions not over 16 mm in diameter, and shallots, fresh or chilled"
07,10,07032000,0703.20.00,"Garlic, fresh or chilled"
07,11,07039000,0703.90.00,"Leeks and other alliaceous vegetables nesoi, fresh or chilled"
07,12,07041020,0704.10.20,"Cauliflower and headed broccoli, fresh or chilled, if entered June 5 to October 15, inclusive, in any year"
07,13,07041040,0704.10.40,"Cauliflower and headed broccoli, fresh or chilled, not reduced in size, if entered Oct. 16 through June 4, inclusive"
07,14,07041060,0704.10.60,"Cauliflower and headed broccoli, fresh or chilled, reduced in size, if entered Oct. 16 through June 4, inclusive"
07,15,07042000,0704.20.00,"Brussels sprouts, fresh or chilled"
07,16,07049020,0704.90.20,"Cabbage, fresh or chilled"
07,17,07049040,0704.90.40,"Kohlrabi, kale and similar edible brassicas nesoi, including sprouting broccoli, fresh or chilled"
07,18,07051120,0705.11.20,"Head lettuce (cabbage lettuce), fresh or chilled, if entered June 1 to October 31, inclusive, in any year"
07,19,07051140,0705.11.40,"Head lettuce (cabbage lettuce), fresh or chilled, if entered Nov. 1 through May 30, inclusive, in any year"
07,20,07051920,0705.19.20,"Lettuce, other than head lettuce, fresh or chilled, if entered June 1 to October 31, inclusive, in any year"
08,1,08011100,0801.11.00,"Coconuts, desiccated"
08,2,08011200,0801.12.00,"Coconuts, fresh, in the inner shell (endocarp)"
08,3,08011901,0801.19.01,"Coconuts, fresh, not in the inner shell (endocarp)"
08,4,08012100,0801.21.00,"Brazil nuts, fresh or dried, in shell"
08,5,08012200,0801.22.00,"Brazil nuts, fresh or dried, shelled"
08,6,08013100,0801.31.00,"Cashew nuts, fresh or dried, in shell"
08,7,08013200,0801.32.00,"Cashew nuts, fresh or dried, shelled"
08,8,08021100,0802.11.00,"Almonds, fresh or dried, in shell"
08,9,08021200,0802.12.00,"Almonds, fresh or dried, shelled"
08,10,08022100,0802.21.00,"Hazelnuts or filberts, fresh or dried, in shell"
08,11,08022200,0802.22.00,"Hazelnuts or filberts, fresh or dried, shelled"
08,12,08023100,0802.31.00,"Walnuts, fresh or dried, in shell"
08,13,08023200,0802.32.00,"Walnuts, fresh or dried, shelled"
08,14,08024100,0802.41.00,"Chestnuts, fresh or dried,  in shell"
08,15,08024200,0802.42.00,"Chestnuts, fresh or dried, shelled"
08,16,08025100,0802.51.00,"Pistachios, fresh or dried, in shell"
08,17,08025200,0802.52.00,"Pistachios, fresh or dried, shelled"
08,18,08026100,0802.61.00,"Macadamia nuts, in shell"
08,19,08026200,0802.62.00,"Macadamia nuts, shelled"
08,20,08027010,0802.70.10,"Kola nuts (Cola spp.), fresh or dried, in shell"
09,1,09011100,0901.11.00,"Coffee, not roasted, not decaffeinated"
09,2,09011200,0901.12.00,"Coffee, not roasted, decaffeinated"
09,3,09012100,0901.21.00,"Coffee, roasted, not decaffeinated"
09,4,09012200,0901.22.00,"Coffee, roasted, decaffeinated"
09,5,09019010,0901.90.10,Coffee husks and skins
09,6,09019020,0901.90.20,Coffee substitutes containing coffee
09,7,09021010,0902.10.10,"Green tea in packages not over 3 kg, flavored"
09,8,09021090,0902.10.90,"Green tea in packages not over 3 kg, not flavored"
09,9,09022010,0902.20.10,"Green tea in packages over 3 kg, flavored"
09,10,09022090,0902.20.90,"Green tea in packages over 3 kg, not flavored"
09,11,09023000,0902.30.00,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
09,12,09024000,0902.40.00,"Black tea (fermented) and partly fermented tea, other than in immediate packings of a content not exceeding 3 kg"
09,13,09030000,0903.00.00,Mate
09,14,09041100,0904.11.00,"Pepper of the genus Piper, neither crushed nor ground"
09,15,09041200,0904.12.00,"Pepper of the genus Piper, crushed or ground"
09,16,09042120,0904.21.20,"Paprika, dried neither crushed nor ground"
09,17,09042140,0904.21.40,"Anaheim and ancho pepper, dried, neither crushed nor ground"
09,18,09042160,0904.21.60,"Fruits of the genus Capsicum, other than paprika or anaheim and ancho pepper, dried, not crushed or ground"
09,19,09042180,0904.21.80,"Fruits of the genus Pimenta (including allspice), dried"
09,20,09042220,0904.22.20,"Paprika, crushed or ground"
10,1,10011100,1001.11.00,"Durum wheat, seed"
10,2,10011900,1001.19.00,"Durum wheat, other than seed"
10,3,10019100,1001.91.00,"Seed of wheat and meslin, other than durum wheat"
10,4,10019900,1001.99.00,Wheat & meslin other than durum or seed wheat
10,5,10021000,1002.10.00,"Rye, seed"
10,6,10029000,1002.90.00,"Rye, other than seed"
10,7,10031000,1003.10.00,"Barley, seed"
10,8,10039020,1003.90.20,"Barley, other than seed, for malting purposes"
10,9,10039040,1003.90.40,"Barley, not seed, other than for malting purposes"
10,10,10041000,1004.10.00,"Oats, seed"
10,11,10049000,1004.90.00,"Oats, other than seed"
10,12,10051000,1005.10.00,Seed corn (maize)
10,13,10059020,1005.90.20,Yellow dent corn
10,14,10059040,1005.90.40,"Corn (maize), other than seed and yellow dent corn"
10,15,10061000,1006.10.00,Rice in the husk (paddy or rough)
10,16,10062020,1006.20.20,"Basmati rice, husked"
10,17,10062040,1006.20.40,"Husked (brown) rice, other than Basmati"
10,18,10063010,1006.30.10,"Rice semi-milled or wholly milled, whether or not polished or glazed, parboiled"
10,19,10063090,1006.30.90,"Rice semi-milled or wholly milled, whether or not polished or glazed, other than parboiled"
10,20,10064000,1006.40.00,Broken rice
11,1,11010000,1101.00.00,Wheat or meslin flour
11,2,11022000,1102.20.00,Corn (maize) flour
11,3,11029020,1102.90.20,Buckwheat flour
11,4,11029025,1102.90.25,Rice flour
11,5,11029027,1102.90.27,Rye flour
11,6,11029030,1102.90.30,"Cereal flours nesoi, mixed together"
11,7,11029060,1102.90.60,"Cereal flours, other than of wheat or meslin, rye, corn, rice or buckwheat"
11,8,11031100,1103.11.00,Groats and meal of wheat
11,9,11031300,1103.13.00,Groats and meal of corn (maize)
11,10,11031912,1103.19.12,Groats and meal of oats
11,11,11031914,1103.19.14,Groats and meal of rice
11,12,11031990,1103.19.90,"Groats and meal of cereals other than wheat, oats, corn (maize) or rice"
11,13,11032000,1103.20.00,Pellets of cereals
11,14,11041200,1104.12.00,Rolled or flaked grains of oats
11,15,11041910,1104.19.10,Rolled or flaked grains of barley
11,16,11041990,1104.19.90,"Rolled or flaked grains of cereals, other than of barley or oats"
11,17,11042200,1104.22.00,"Grains of oats, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked"
11,18,11042300,1104.23.00,"Grains of corn (maize), hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked"
11,19,11042910,1104.29.10,"Grains of barley, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked"
11,20,11042990,1104.29.90,"Grains of cereals other than barley, oats or corn, hulled, pearled, clipped, sliced, kibbled or otherwise worked, but not rolled or flaked"
12,1,12011000,1201.10.00,"Soybeans, whether or not broken, seed"
12,2,12019000,1201.90.00,"Soybeans, whether or not broken, other than seed"
12,3,12023005,1202.30.05,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to gen note 15 of the HTS"
12,4,12023040,1202.30.40,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to add. US note 2 to Ch.12"
12,5,12023080,1202.30.80,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, not subject to gen note 15 or add. US note 2 to Ch.12"
12,6,12024105,1202.41.05,"Peanuts (ground-nuts), not seed, not roasted or cooked, in shell, subject to gen note 15 of the HTS"
12,7,12024140,1202.41.40,"Peanuts (ground-nuts), not seed, not roasted or cooked, in shell, subject to add. US note 2 to Ch.12"
12,8,12024180,1202.41.80,"Peanuts (ground-nuts), not seed, not roasted or cooked, in shell, not subject to gen note 15 or add. US note 2 to Ch.12"
12,9,12024210,1202.42.10,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, dry-blanched, subject to gen note 15 of the HTS"
12,10,12024215,1202.42.15,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, dry-blanched, subject to add. US note 2 to Ch.12"
12,11,12024220,1202.42.20,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, dry-blanched, not subject to gen note 15 or add. US note 2 to Ch.12"
12,12,12024250,1202.42.50,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, other than dry-blanched, subject to gen note 15 of the HTS"
12,13,12024260,1202.42.60,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, other than dry-blanched, subject to add. US note 2 to Ch.12"
12,14,12024290,1202.42.90,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, other than dry-blanched, not subject to gen note 15 or add. US note 2 to Ch.12"
12,15,12030000,1203.00.00,Copra
12,16,12040000,1204.00.00,"Flaxseed (linseed), whether or not broken"
12,17,12051000,1205.10.00,"Low erucic acid rape or colza seeds, whether or not broken"
12,18,12059000,1205.90.00,"Rape or colza seeds (other than of low erucic acid), whether or not broken"
12,19,12060000,1206.00.00,"Sunflower seeds, whether or not broken"
12,20,12071000,1207.10.00,Palm nuts and kernels
13,1,13012000,1301.20.00,Gum Arabic
13,2,13019040,1301.90.40,Turpentine gum (oleoresinous exudate from living trees)
13,3,13019091,1301.90.91,"Lac,natural gums, resins, gum-resins and oleoresins (e.g., balsams), nesoi"
13,4,13021100,1302.11.00,Saps and extracts of opium
13,5,13021200,1302.12.00,Saps and extracts of licorice
13,6,13021300,1302.13.00,Saps and extracts of hops
13,7,13021401,1302.14.01,Vegetable saps and extracts of ephedra
13,8,13021921,1302.19.21,Poppy straw extract
13,9,13021941,1302.19.41,Ginseng and other substances having prophylatic or therapeutic properties
13,10,13021991,1302.19.91,Vegetable saps and extracts nesoi
13,11,13022000,1302.20.00,"Pectic substances, pectinates and pectates"
13,12,13023100,1302.31.00,Agar-agar
13,13,13023200,1302.32.00,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds"
13,14,13023900,1302.39.00,"Mucilages and thickeners derived from vegetable products other than locust beans, locust bean seeds or guar seeds, and excluding agar-agar"
14,1,14011000,1401.10.00,"Bamboos, of a kind used primarily for plaiting"
14,2,14012020,1401.20.20,"Rattans, in the rough or cut transversely into sections, of a kind used primarily for plaiting"
14,3,14012040,1401.20.40,"Rattans, other than those in the rough or cut transversely into sections, of a kind used primarily for plaiting"
14,4,14019020,1401.90.20,"Willow (osier), of a kind used primarily for plaiting"
14,5,14019040,1401.90.40,"Lime bark, raffia, reeds, rushes, cleaned, bleached or dyed cereal straw, other vegetable materials nesoi, used primarily for plaiting"
14,6,14042000,1404.20.00,Cotton linters
14,7,14049010,1404.90.10,Vegetable hair not elsewere specified or included
14,8,14049020,1404.90.20,Broomcorn (Sorghum vulgare var. technicum) of a kind used primarily in brooms or brushes
14,9,14049030,1404.90.30,Istle of a kind used primarily in brooms or brushes
14,10,14049040,1404.90.40,"Piassava, couch-grass and other vegetable materials nesoi, of a kind used primarily in brooms or brushes"
14,11,14049090,1404.90.90,Other vegetable materials nesoi
15,1,15011000,1501.10.00,"Lard, other than heading 0209 or 1503"
15,2,15012000,1501.20.00,Other pig fat other than heading 0209 or 1503
15,3,15019000,1501.90.00,"Poultry fat, other than that of head 0209 or 1503"
15,4,15021000,1502.10.00,"Fats of bovine animals, sheep or goats, other than those of heading 1503: tallow"
15,5,15029000,1502.90.00,"Fats of bovine animals, sheep or goats, other than those of heading 1503, other than tallow"
15,6,15030000,1503.00.00,"Lard stearin, lard oil, oleostearin, oleo-oil, and tallow oil, not emulsified or mixed or otherwise prepared"
15,7,15041020,1504.10.20,Cod-liver oil and its fractions
15,8,15041040,1504.10.40,"Fish-liver oils and their fractions, other than cod-liver oil and its fractions"
15,9,15042020,1504.20.20,"Cod oil and its fractions, other than liver oil"
15,10,15042040,1504.20.40,"Herring oil and its fractions, other than liver oil"
15,11,15042060,1504.20.60,"Fats and oils and their fractions, of fish other than cod and herring, excluding liver oil"
15,12,15043000,1504.30.00,"Fats and oils and their fractions, of marine mammals"
15,13,15050010,1505.00.10,"Wool grease, crude"
15,14,15050090,1505.00.90,Fatty substances derived from wool grease (including lanolin)
15,15,15060000,1506.00.00,"Animal fats and oils and their fractions nesoi, whether or not refined, but not chemically modified"
15,16,15071000,1507.10.00,"Crude soybean oil, whether or not degummed"
15,17,15079020,1507.90.20,"Pharmaceutical grade soybean oil meeting FDA requirements for use in intravenous fat emulsions, valued over $5 per kg"
15,18,15079040,1507.90.40,"Soybean oil, other than crude, and its fractions, whether or not refined, but not chemically modified, nesoi"
15,19,15081000,1508.10.00,Crude peanut (ground-nut) oil
15,20,15089000,1508.90.00,"Peanut (ground-nut) oil, other than crude, and its fractions, whether or not refined, but not chemically modified"
16,1,16010020,1601.00.20,"Pork sausages and similar products of pork, pork offal or blood; food preparations based on these products"
16,2,16010040,1601.00.40,"Sausages and similar products of beef, beef offal or blood; food preparations based on these products, in airtight containers"
16,3,16010060,1601.00.60,"Sausage and similar products of meats, meat offal or blood nesoi; food preparations based on these products"
16,4,16021010,1602.10.10,"Homogenized preparations of prepared or preserved meat, meat offal or blood, put up for retail sale as food for infants or for dietetic purposes"
16,5,16021050,1602.10.50,"Homogenized preparations of prepared or preserved meat, meat offal or blood, put up for retail sale as food for children"
16,6,16022020,1602.20.20,Prepared or preserved liver of goose
16,7,16022040,1602.20.40,Prepared or preserved liver of any animal other than of goose
16,8,16023100,1602.31.00,"Prepared or preserved meat or meat offal of turkeys, nesoi"
16,9,16023200,1602.32.00,"Prepared or preserved meat or meat offal of chickens, nesoi"
16,10,16023900,1602.39.00,"Prepared or preserved meat or meat offal of ducks, geese or guineas, nesoi"
16,11,16024110,1602.41.10,"Prepared or preserved pork ham and cuts thereof, containing cereals or vegetables"
16,12,16024120,1602.41.20,"Pork hams and cuts thereof, not containing cereals or vegetables, boned and cooked and packed in airtight containers"
16,13,16024190,1602.41.90,"Prepared or preserved pork hams and cuts thereof, not containing cereals or vegetables, nesoi"
16,14,16024220,1602.42.20,"Pork shoulders and cuts thereof, boned and cooked and packed in airtight containers"
16,15,16024240,1602.42.40,"Prepared or preserved pork shoulders and cuts thereof, other than boned and cooked and packed in airtight containers"
16,16,16024910,1602.49.10,"Prepared or preserved pork offal, including mixtures"
16,17,16024920,1602.49.20,"Pork other than ham and shoulder and cuts thereof, not containing cereals or vegetables, boned and cooked and packed in airtight containers"
16,18,16024940,1602.49.40,"Prepared or preserved pork, not containing cereals or vegetables, nesoi"
16,19,16024960,1602.49.60,Prepared or preserved pork mixed with beef
16,20,16024990,1602.49.90,"Prepared or preserved pork, nesoi"
17,1,17011205,1701.12.05,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to gen. note 15 of the HTS"
17,2,17011210,1701.12.10,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17"
17,3,17011250,1701.12.50,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, nesoi, not subject to gen. note 15 or add. US 5 to Ch.17"
17,4,17011305,1701.13.05,"Cane sugar, raw, specified in subheading 2 to chapter 17, in solid form, w/o added flavoring or coloring, subject to gen. note 15 of the HTS"
17,5,17011310,1701.13.10,"Cane sugar, raw, specified in subheading 2 and subject to add'l note 5 to this chapter, in solid form, w/o added flavoring or coloring"
17,6,17011320,1701.13.20,"Cane sugar, raw, specified in subheading 2 to chapter 17, to be used for certain polyhydric alcohols"
