query_id,canonical_hts_number,canonical_hts_digits,original_description,standardized_description,standardized_query,noise_flags,noise_score,quality_flags,quality_score,eval_eligible
std-6ad199c80344,2101.11.29.49,2101112949,"Tim Hortons French Vanilla Cappuccino K-Cup 96 count ( Sweet & Creamy), TH FV Cappuccino K-Cup 96ct","Tim Hortons French Vanilla Cappuccino K-Cup 96 count ( Sweet & Creamy), TH FV Cappuccino K-Cup 96ct","tim hortons french vanilla cappuccino k cup sweet and creamy , th fv cappuccino k cup",html|count|options,3,no_semantic_overlap,55,
std-8f23db6b3baf,2101.11.29.49,2101112949,Van Houtte Cafe Raspberry Chocolate Truffle K-cup for Keurig Brewers (72 Count) - Packaging May Vary,Van Houtte Cafe Raspberry Chocolate Truffle K-cup for Keurig Brewers (72 Count) - Packaging May Vary,van houtte cafe raspberry chocolate truffle k cup for keurig brewers packaging may vary,html|count|options,3,no_semantic_overlap,55,
std-cfbdbab9a52d,2103.90.80.00,2103908000,MILLIONAIRE - 100 ml,MILLIONAIRE - 100 ml,millionaire,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-24c9ceb45ecc,2103.90.80.00,2103908000,SALSA ROJA - 100 ml,SALSA ROJA - 100 ml,salsa roja,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-49406413acc5,2103.90.90.91,2103909091,Korean Chili Sauce,Korean Chili Sauce,korean chili sauce,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-aa7b15b8542c,2103.90.90.91,2103909091,Seasoning bottle,Seasoning bottle,seasoning bottle,html|options,2,no_semantic_overlap,55,
std-a0af2e6e9e09,2106.90.58.30,2106905830,Wine Gummies by Vinoos - Chardonnay,Wine Gummies by Vinoos - Chardonnay,wine gummies by vinoos chardonnay,html|options,2,no_semantic_overlap,55,
std-96719743177d,2106.90.58.30,2106905830,Wine Gummies by Vinoos - Merlot,Wine Gummies by Vinoos - Merlot,wine gummies by vinoos merlot,html|options,2,no_semantic_overlap,55,
std-a6e10231357c,2106.90.58.30,2106905830,Wine Gummies by Vinoos - Rose Wine,Wine Gummies by Vinoos - Rose Wine,wine gummies by vinoos rose wine,html|options,2,no_semantic_overlap,55,
std-4a8d8a045c35,2106.90.58.30,2106905830,Wine Gummies by Vinoos - Sauvignon Blank,Wine Gummies by Vinoos - Sauvignon Blank,wine gummies by vinoos sauvignon blank,html|options,2,no_semantic_overlap,55,
std-2dbb7dbe7109,2106.90.76.00,2106907600,Mild Vanilla (10 meals),Mild Vanilla (10 meals),mild vanilla meals,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-56390c6356ac,2106.90.76.00,2106907600,Rich Chocolate (10 meals),Rich Chocolate (10 meals),rich chocolate meals,html|options,2,no_semantic_overlap|weak_catalog_fragment,25,
std-a52bbc0a96a6,2106.90.99.87,2106909987,Bum Candies,Bum Candies,bum candies,html|options,2,no_semantic_overlap|weak_catalog_fragment,25,
std-704ecbf91448,2106.90.99.87,2106909987,Bum Capsules,Bum Capsules,bum capsules,html|options,2,no_semantic_overlap|weak_catalog_fragment,25,
std-b6ffcafdadab,2106.90.99.87,2106909987,Deluxe Butt Cream,Deluxe Butt Cream,deluxe butt cream,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-4bfb4123c4c3,2106.90.99.87,2106909987,Deluxe Butt Oil,Deluxe Butt Oil,deluxe butt oil,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-2e9ef69f1eff,2502.00.00.00,2502000000,Cast Iron Key Hanger,Cast Iron Key Hanger,cast iron key hanger,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-19681bd11c15,2505.90.00.00,2505900000,crafting sand,crafting sand,crafting sand,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-81d6e6d42039,2508.40.01.50,2508400150,Handcrafted Dr. Ratio Clay Figure: Honkai Star RailCollectible|Perfect gift | Birthday Gift,Handcrafted Dr. Ratio Clay Figure: Honkai Star RailCollectible|Perfect gift | Birthday Gift,handcrafted dr. ratio clay figure honkai star railcollectible perfect gift birthday gift,html|options,2,no_semantic_overlap,55,
std-40883f44540e,2508.40.01.50,2508400150,Handcrafted Furina Clay Figure: Genshin Impact Collectible|Perfect gift | Birthday Gift,Handcrafted Furina Clay Figure: Genshin Impact Collectible|Perfect gift | Birthday Gift,handcrafted furina clay figure genshin impact collectible perfect gift birthday gift,html|options,2,no_semantic_overlap,55,
std-a37c9545782d,2508.40.01.50,2508400150,Handcrafted Genshin Impact Wanderer Clay Figure: Detailed Hat Guy|Perfect gift | Birthday Gift,Handcrafted Genshin Impact Wanderer Clay Figure: Detailed Hat Guy|Perfect gift | Birthday Gift,handcrafted genshin impact wanderer clay figure detailed hat guy perfect gift birthday gift,html|options,2,no_semantic_overlap,55,
std-e474883e1b1f,2508.40.01.50,2508400150,Handmade Raiden Shogun Clay Figure: Genshin Impact Chibi Figurine|Perfect gift | Birthday Gift,Handmade Raiden Shogun Clay Figure: Genshin Impact Chibi Figurine|Perfect gift | Birthday Gift,handmade raiden shogun clay figure genshin impact chibi figurine perfect gift birthday gift,html|options,2,no_semantic_overlap,55,
std-ab04d9b8542d,2515.20.00.00,2515200000,natural calcite piece,natural calcite piece,natural calcite piece,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-34d6d1987883,2516.11.00.00,2516110000,ORANGE STILBITE CLUSTER,ORANGE STILBITE CLUSTER,orange stilbite cluster,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-1b69d8fd2434,2516.11.00.00,2516110000,TERMINATED WHITE QUARTZ POINT,TERMINATED WHITE QUARTZ POINT,terminated white quartz point,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-82e723221335,2516.20.10.00,2516201000,ASSORTED ROUGH ROCKS,ASSORTED ROUGH ROCKS,assorted rough rocks,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-c96f39595416,2516.20.10.00,2516201000,Natural Diamond inlay dust - Black .2mm-.4mm Coarse size,Natural Diamond inlay dust - Black .2mm-.4mm Coarse size,natural diamond inlay dust black . coarse size,,0,no_semantic_overlap,55,
std-6e6a6efe4159,2516.20.10.00,2516201000,Natural Diamond inlay dust - White,Natural Diamond inlay dust - White,natural diamond inlay dust white,,0,no_semantic_overlap,55,
std-9567a83b7465,2516.20.10.00,2516201000,Natural Diamond inlay dust - White .6mm-.8mm Coarse size,Natural Diamond inlay dust - White .6mm-.8mm Coarse size,natural diamond inlay dust white . coarse size,,0,no_semantic_overlap,55,
std-d55b2393f579,2516.20.10.00,2516201000,Natural Diamond inlay dust - White .10mm-.15 mm Fine,Natural Diamond inlay dust - White .10mm-.15 mm Fine,natural diamond inlay dust white . fine,,0,no_semantic_overlap,55,
std-cb5c1ed4b685,2516.90.00.60,2516900060,GARDEN QUARTZ TOWER DECORATION,GARDEN QUARTZ TOWER DECORATION,garden quartz tower decoration,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-bf71e9e94872,2517.49.00.00,2517490000,"natural beach pebble for landscaping use, washed and unpolished","natural beach pebble for landscaping use, washed and unpolished","natural beach pebble for landscaping use, washed and unpolished",,0,no_semantic_overlap,55,
std-dbf2ced1a3a9,2525.20.00.00,2525200000,Photochromic pigment - Dark Purple,Photochromic pigment - Dark Purple,photochromic pigment dark purple,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-1c42a50c9885,2525.20.00.00,2525200000,Photochromic pigment - Green,Photochromic pigment - Green,photochromic pigment green,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-f9041898a587,2525.20.00.00,2525200000,Photochromic pigment - Khaki,Photochromic pigment - Khaki,photochromic pigment khaki,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-f1fbafa4ecda,2525.20.00.00,2525200000,Pigments for ring inlays and casting - Pack 769,Pigments for ring inlays and casting - Pack 769,pigments for ring inlays and casting pack,,0,no_semantic_overlap,55,
std-9f351659192f,2525.20.00.00,2525200000,Pigments for ring inlays and casting - Super Pack 725,Pigments for ring inlays and casting - Super Pack 725,pigments for ring inlays and casting super pack,,0,no_semantic_overlap,55,
std-c15628f8a66c,2529.22.00.00,2529220000,natural raw fluorite,natural raw fluorite,natural raw fluorite,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-dea1e1e11244,2530.90.10.00,2530901000,Decorative Crystals,Decorative Crystals,decorative crystals,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-ee1a2f836b24,2530.90.80.50,2530908050,"Break your own geode, Geode, Geode Quartz, Gift for kids, Gift for her, Gift for him, Easter, Christmas","Break your own geode, Geode, Geode Quartz, Gift for kids, Gift for her, Gift for him, Easter, Christmas","break your own geode, geode quartz, gift for kids, gift for her, gift for him, easter, christmas",html|options,2,no_semantic_overlap,55,
std-9b987aa49eee,2530.90.80.50,2530908050,Crushed Allosaurus dinosaur bone - Coarse,Crushed Allosaurus dinosaur bone - Coarse,crushed allosaurus dinosaur bone coarse,,0,no_semantic_overlap,55,
std-0cbf75893e7c,2530.90.80.50,2530908050,Crushed Chrysler (Fordite) - Crushed Chrysler (Fordite),Crushed Chrysler (Fordite),crushed chrysler fordite,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-bc3a723e1a7a,2530.90.80.50,2530908050,Crushed Icelandic lava - Crushed lava,Crushed Icelandic lava - Crushed lava,crushed icelandic lava crushed lava,,0,no_semantic_overlap,55,
std-0e9b62c99351,2530.90.80.50,2530908050,Crushed Sauropod dinosaur bone - White,Crushed Sauropod dinosaur bone - White,crushed sauropod dinosaur bone white,,0,no_semantic_overlap,55,
std-22ee3aef8dfa,2530.90.80.50,2530908050,Fossilized prehistoric crushed Mammoth - Green tooth,Fossilized prehistoric crushed Mammoth - Green tooth,fossilized prehistoric crushed mammoth green tooth,html|options,2,no_semantic_overlap,55,
std-a4626fb70181,2530.90.80.50,2530908050,Fossilized Whale Vertebrae - White,Fossilized Whale Vertebrae - White,fossilized whale vertebrae white,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-6eecfe349467,2530.90.80.50,2530908050,"KT Boundary soil , Dinosaur Extinction Layer","KT Boundary soil , Dinosaur Extinction Layer","kt boundary soil , dinosaur extinction layer",,0,no_semantic_overlap,55,
std-9fa45fba0c0c,2530.90.80.50,2530908050,Limited quantities stones - Apatite,Limited quantities stones - Apatite,limited quantities stones apatite,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-c581f45cd6eb,2530.90.80.50,2530908050,Limited quantities stones - Blue Lace,Limited quantities stones - Blue Lace,limited quantities stones blue lace,,0,no_semantic_overlap,55,
std-9d82e7fd1147,2530.90.80.50,2530908050,Limited quantities stones - Crushed Yooperlite,Limited quantities stones - Crushed Yooperlite,limited quantities stones crushed yooperlite,,0,no_semantic_overlap,55,
std-470477876f0c,2530.90.80.50,2530908050,Limited quantities stones - Lapis Afghanistan High grade - Large,Limited quantities stones - Lapis Afghanistan High grade - Large,limited quantities stones lapis afghanistan high grade large,html|options,2,no_semantic_overlap,55,
std-eb47f672dca0,2530.90.80.50,2530908050,Limited quantities stones - Realgar orpiment - Coarse,Limited quantities stones - Realgar orpiment - Coarse,limited quantities stones realgar orpiment coarse,,0,no_semantic_overlap,55,
std-9441d5422ed0,2530.90.80.50,2530908050,Limited quantities stones - Ruby Tanzania,Limited quantities stones - Ruby Tanzania,limited quantities stones ruby tanzania,,0,no_semantic_overlap,55,
std-81857dd9f472,2530.90.80.50,2530908050,Megalodon Tooth inlay material - Mixed size (Fine and large chunks),Megalodon Tooth inlay material - Mixed size (Fine and large chunks),megalodon tooth inlay material mixed size fine and large chunks,html|options,2,no_semantic_overlap,55,
std-d8f18ed8f020,2530.90.80.50,2530908050,Natural Stone,Natural Stone,natural stone,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-30992290aec3,2530.90.80.50,2530908050,Natural Stone Bead,Natural Stone Bead,natural stone bead,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-696d75a3deb1,2530.90.80.50,2530908050,T Rex Dinosaur inlay material - DARK - FINE,T Rex Dinosaur inlay material - DARK - FINE,t rex dinosaur inlay material dark fine,,0,no_semantic_overlap,55,
std-d074d37d282c,2530.90.80.50,2530908050,Triceratops bone crushed inlay material - Fine,Triceratops bone crushed inlay material - Fine,triceratops bone crushed inlay material fine,,0,no_semantic_overlap,55,
std-27228c31412e,2530.90.80.50,2530908050,"Velociraptor ""Raptor"" dinosaur bone - Coarse","Velociraptor ""Raptor"" dinosaur bone - Coarse",velociraptor raptor dinosaur bone coarse,,0,no_semantic_overlap,55,
std-8801e93c7dd9,2710.19.30.20,2710193020,Transmission Fluid,Transmission Fluid,transmission fluid,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-bd43c37d67c7,2712.20.00.00,2712200000,Max melt candles,Max melt candles,max melt candles,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-9c822793b90b,2903.21.00.00,2903210000,Raven Decal | Pair of raven decals | Gothic decals | Raven bumper sticker,Raven Decal | Pair of raven decals | Gothic decals | Raven bumper sticker,raven decal pair of raven decals gothic decals raven bumper sticker,options,1,no_semantic_overlap,55,
std-4ed359656411,2903.21.00.00,2903210000,"Triple Goddess Decal | Boho Celestial Decal | Pagan Wiccan Wall Art Triple Moon sticker, | Triple moon pentagram decal | Witchy Decal","Triple Goddess Decal | Boho Celestial Decal | Pagan Wiccan Wall Art Triple Moon sticker, | Triple moon pentagram decal | Witchy Decal","triple goddess decal boho celestial decal pagan wiccan wall art triple moon sticker, triple moon pentagram decal witchy decal",options,1,no_semantic_overlap,55,
std-d77f0d734f73,2903.21.00.00,2903210000,"Triple Moon Symbol | Wiccan Protection | Triple Moon Goddess | Boho Celestial CAR DECAL, Pagan Wiccan New Age Art, Triple Moon Witch Decor","Triple Moon Symbol | Wiccan Protection | Triple Moon Goddess | Boho Celestial CAR DECAL, Pagan Wiccan New Age Art, Triple Moon Witch Decor","triple moon symbol wiccan protection triple moon goddess boho celestial car decal, pagan wiccan new age art, triple moon witch decor",options,1,no_semantic_overlap,55,
std-f09976bbf10d,3004.90.10.00,3004901000,FUSION Face Hydrating Cream 50ml,FUSION Face Hydrating Cream 50ml,fusion face hydrating cream,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-ca3e11bca3ec,3004.90.10.00,3004901000,FUSION Face Hydrating Serum 30ml,FUSION Face Hydrating Serum 30ml,fusion face hydrating serum,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-57c01f7e15e5,3004.90.10.00,3004901000,Life Cell Niacinamide Fading Serum 1 OZ/30ML,Life Cell Niacinamide Fading Serum 1 OZ / 30ML,life cell niacinamide fading serum,html|measure|options,3,no_semantic_overlap,55,
std-23277f96a3d7,3004.90.10.00,3004901000,MARIA GALLAND Face Hydrating Serum,MARIA GALLAND Face Hydrating Serum,maria galland face hydrating serum,,0,no_semantic_overlap,55,
std-5c95de38467a,3004.90.10.00,3004901000,ROSACTIVE Face Hydrating Cream,ROSACTIVE Face Hydrating Cream,rosactive face hydrating cream,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-2fc84bbd0beb,3004.90.10.00,3004901000,SELVERT THERMAL Face Hydrating Cream,SELVERT THERMAL Face Hydrating Cream,selvert thermal face hydrating cream,,0,no_semantic_overlap,55,
std-eeb509afa0d7,3004.90.10.00,3004901000,VAGHEGGI Face Hydrating Cream,VAGHEGGI Face Hydrating Cream,vagheggi face hydrating cream,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-260f1988ddbb,3004.90.10.00,3004901000,VAGHEGGI Face Hydrating Serum,VAGHEGGI Face Hydrating Serum,vagheggi face hydrating serum,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-47f443aac457,3005.10.50.00,3005105000,"Bunny Orange CGM Set, Continuous Glucose Monitor Sets Dexcom, Freestyle, Omnipod","Bunny Orange CGM Set, Continuous Glucose Monitor Sets Dexcom, Freestyle, Omnipod","bunny orange cgm set, continuous glucose monitor sets dexcom, freestyle, omnipod",html|options,2,no_semantic_overlap,55,
std-97c377f50a01,3005.10.50.00,3005105000,Strawberry Coquette Collection Dexcom G6- CGM Set of 8 Patches,Strawberry Coquette Collection Dexcom G6- CGM Set of 8 Patches,strawberry coquette collection dexcom g6 cgm patches,,0,model_number|no_semantic_overlap,30,
std-ba567e96350d,3005.10.50.00,3005105000,Wildflower Collection 5 Pack Dexcom G7 Patch,Wildflower Collection 5 Pack Dexcom G7 Patch,wildflower collection pack dexcom g7 patch,,0,model_number|no_semantic_overlap,30,
std-0ce5c3d4a840,3006.10.01.00,3006100100,cable knit satin lined headband,cable knit satin lined headband,cable knit satin lined headband,,0,no_semantic_overlap,55,
std-321803366a39,3006.10.01.00,3006100100,Satin Lined Beanie,Satin Lined Beanie,satin lined beanie,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-61c136ce0ab3,3006.50.00.00,3006500000,Roadside Assistance Kit,Roadside Assistance Kit,roadside assistance kit,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-4baeca5f9ec5,3201.90.25.00,3201902500,Glass btl lqd tan extract,Glass btl lqd tan extract,glass btl lqd tan extract,,0,no_semantic_overlap,55,
std-6e62b67c544c,3203.00.80.00,3203008000,Hair Colors,Hair Colors,hair colors,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-5027b2720ca6,3203.00.80.00,3203008000,henna cones,henna cones,henna cones,,0,no_semantic_overlap|weak_catalog_fragment,25,
std-3992ad412b6e,3206.49.60.50,3206496050,Acadia Pear - 330g,Acadia Pear - 330g,acadia pear,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-7fb889c1d472,3206.49.60.50,3206496050,Algonquin - 330g,Algonquin - 330g,algonquin,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-63f2c3cb277f,3206.49.60.50,3206496050,Almond Latte - 330g,Almond Latte - 330g,almond latte,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-f67e797e6193,3206.49.60.50,3206496050,Amalfi Coast - 50g,Amalfi Coast - 50g,amalfi coast,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-95aaa4df022f,3206.49.60.50,3206496050,Antique Gold - 50g,Antique Gold - 50g,antique gold,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-db148544fcc7,3206.49.60.50,3206496050,Aperol Spritz - 50g,Aperol Spritz - 50g,aperol spritz,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-f8c08a9fb9e9,3206.49.60.50,3206496050,Belle Fleur - 50g,Belle Fleur - 50g,belle fleur,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-0b5016924509,3206.49.60.50,3206496050,Beret - 50g,Beret - 50g,beret,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-32a9e402a925,3206.49.60.50,3206496050,Bouquet - 330g,Bouquet - 330g,bouquet,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-0be9398f5633,3206.49.60.50,3206496050,Buttermilk Cream - 50g,Buttermilk Cream - 50g,buttermilk cream,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-bb3b175f6fc2,3206.49.60.50,3206496050,Cartier - 50g,Cartier - 50g,cartier,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-464df8787cf8,3206.49.60.50,3206496050,Chocolate - 330g,Chocolate - 330g,chocolate,html|measure|options,3,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-b76bdd47e623,3206.49.60.50,3206496050,Coal Black - 330g,Coal Black - 330g,coal black,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-8ac775569574,3206.49.60.50,3206496050,Coastal Blue - 50g,Coastal Blue - 50g,coastal blue,measure,1,no_semantic_overlap|weak_catalog_fragment|variant_only,0,
std-bfeca96dbc5f,3206.49.60.50,3206496050,Craftsman - 50g,Craftsman - 50g,craftsman,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-b6ef000100cd,3206.49.60.50,3206496050,Cranberry - 50g,Cranberry - 50g,cranberry,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-481bf63ac057,3206.49.60.50,3206496050,Dala Red - 330g,Dala Red - 330g,dala red,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-6459e7fba2ca,3206.49.60.50,3206496050,Dusty Rose - 330g,Dusty Rose - 330g,dusty rose,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-d2d89215ce07,3206.49.60.50,3206496050,Fort York Red - 50g,Fort York Red - 50g,fort york red,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-a28a6b55eed1,3206.49.60.50,3206496050,Fresco Texturizing Powder - 400g,Fresco Texturizing Powder - 400g,fresco texturizing powder,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-ced4cba90dd1,3206.49.60.50,3206496050,Gaspe Green - 50g,Gaspe Green - 50g,gaspe green,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-0cbec5490034,3206.49.60.50,3206496050,Gustavian White - 330g,Gustavian White - 330g,gustavian white,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-92a5dd895baa,3206.49.60.50,3206496050,Homestead Blue - 330g,Homestead Blue - 330g,homestead blue,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-46edf7395d92,3206.49.60.50,3206496050,Homestead Grey - 50g,Homestead Grey - 50g,homestead grey,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-1a3d65de2c8d,3206.49.60.50,3206496050,Lavande - 330g,Lavande - 330g,lavande,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-baeb4bcc7651,3206.49.60.50,3206496050,Liberty Blue - 50g,Liberty Blue - 50g,liberty blue,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-709acaf6679c,3206.49.60.50,3206496050,Limestone - 330g,Limestone - 330g,limestone,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-1fa51756e654,3206.49.60.50,3206496050,Little Black Dress - 330g,Little Black Dress - 330g,little black dress,measure,1,no_semantic_overlap,55,
std-e9329306d66d,3206.49.60.50,3206496050,London Fog - 330g,London Fog - 330g,london fog,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-862c1348d9a3,3206.49.60.50,3206496050,Loyalist - 50g,Loyalist - 50g,loyalist,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-c075e8a3f233,3206.49.60.50,3206496050,Matinee - 50g,Matinee - 50g,matinee,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-c10fc07b1b6e,3206.49.60.50,3206496050,Mennonite - 50g,Mennonite - 50g,mennonite,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-b8fe9b17051d,3206.49.60.50,3206496050,Milk Paint All Natural Powder Form - 300 g,Milk Paint All Natural Powder Form - 300 g,milk paint all natural powder form,measure,1,no_semantic_overlap,55,
std-ba36da77ea8e,3206.49.60.50,3206496050,Millennial Pink - 330g,Millennial Pink - 330g,millennial pink,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-6bd7aa2c3da5,3206.49.60.50,3206496050,Mojito - 50g,Mojito - 50g,mojito,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-5bf8f4a306e0,3206.49.60.50,3206496050,Montclair - 50g,Montclair - 50g,montclair,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-103408742d92,3206.49.60.50,3206496050,Monterey - 50g,Monterey - 50g,monterey,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-3f9f154dd42c,3206.49.60.50,3206496050,Night Swim - 50g,Night Swim - 50g,night swim,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-67ed703e532f,3206.49.60.50,3206496050,Ochre - 330g,Ochre - 330g,ochre,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
std-29b1317ed764,3206.49.60.50,3206496050,Oyster Bar - 50g,Oyster Bar - 50g,oyster bar,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-28fdc462d9a0,3206.49.60.50,3206496050,Palm Springs Pink - 330g,Palm Springs Pink - 330g,palm springs pink,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-0ad86b04863a,3206.49.60.50,3206496050,Pioneer Green - 50g,Pioneer Green - 50g,pioneer green,measure,1,no_semantic_overlap|weak_catalog_fragment,25,
std-5d69b5d5e7f7,3206.49.60.50,3206496050,Porcelain - 330g,Porcelain - 330g,porcelain,measure,1,low_token_count|no_semantic_overlap|weak_catalog_fragment,0,
